자치구,동,주택 수 합계,단독주택,다가구주택,영업겸용,아파트,연립주택,다세대주택,비거주용건물내주택
강동구,천호2동,7033,161,1396,246,2256,272,2521,181
강동구,천호3동,5618,118,976,109,3269,169,942,35
강북구,미아동,6145,300,1032,225,1099,408,2990,91
강북구,번1동,4346,320,1200,213,880,86,1558,89
강북구,번2동,6535,104,171,42,2625,240,3325,28
강북구,번3동,7243,6,12,15,6861,66,260,23
강북구,삼각산동,11380,14,21,14,11291,X,26,14
강북구,삼양동,8203,1148,1023,187,2646,650,2473,76
강북구,소계,91806,5998,11048,2347,32651,4854,33820,1088
강북구,송중동,7704,644,1398,247,1342,499,3474,100
강북구,송천동,6777,1070,1742,341,1255,220,2022,127
강북구,수유1동,6088,706,786,204,387,492,3432,81
강북구,수유2동,6437,213,649,172,2531,175,2574,123
강북구,수유3동,5367,286,1251,300,235,230,2939,126
강북구,우이동,6305,506,680,118,856,704,3354,87
강북구,인수동,9276,681,1083,269,643,1084,5393,123
강서구,가양1동,7570,26,51,23,6707,375,352,36
강서구,가양2동,7085,X,X,X,7083,X,X,X
강서구,가양3동,7436,X,X,X,7436,X,X,X
강서구,공항동,4456,178,943,345,545,133,2255,57
강서구,등촌1동,5629,17,129,72,4045,327,996,43
강서구,등촌2동,6170,74,401,60,2614,483,2498,40
강서구,등촌3동,13475,X,5,X,13287,X,166,13
강서구,발산1동,11852,10,210,48,9142,451,1951,40
강서구,방화1동,12605,129,673,175,9492,227,1818,91
강서구,방화2동,7149,344,800,139,3886,315,1549,116
강서구,방화3동,9540,X,100,17,8831,90,484,15
강서구,소계,179045,1504,7998,2169,107304,5306,53569,1195
강서구,염창동,12416,26,95,44,11120,252,823,56
강서구,우장산동,13204,55,434,110,9528,336,2668,73
강서구,화곡1동,15587,145,1035,310,4699,241,8957,200
강서구,화곡2동,5493,67,557,116,338,96,4255,64
강서구,화곡3동,6106,34,426,82,3337,120,2067,40
강서구,화곡4동,6131,79,681,178,694,197,4213,89
강서구,화곡6동,7621,51,415,123,3051,692,3206,83
강서구,화곡8동,8247,98,526,145,683,339,6400,56
강서구,화곡본동,11273,168,517,178,786,632,8910,82
관악구,낙성대동,3454,116,457,115,1392,422,856,96
관악구,난곡동,6861,242,1262,120,915,738,3517,67
관악구,난향동,4843,94,357,22,3872,79,403,16
관악구,남현동,4751,65,372,82,1966,507,1714,45
관악구,대학동,4169,117,849,177,1978,232,577,239
관악구,미성동,8126,262,803,175,3597,440,2741,108
관악구,보라매동,5908,364,963,126,1414,646,2326,69
관악구,삼성동,7936,1248,630,83,4712,233,994,36
관악구,서림동,4860,145,805,150,1699,265,1672,124
관악구,서원동,5124,132,834,69,785,447,2793,64
관악구,성현동,10897,146,254,42,8669,249,1502,35
관악구,소계,121277,4849,15642,2668,53262,6489,36436,1931
관악구,신림동,3521,318,547,171,931,14,1355,185
관악구,신사동,3901,79,1400,219,298,132,1680,93
관악구,신원동,3713,141,1105,118,673,82,1496,98
